ID,Title,Link,titleSlug,Approach,Difficulty,Topics
70,Climbing Stairs,Climbing Stairs,climbing-stairs,,Easy,"Dynamic Programming, "
71,Simplify Path,Simplify Path,simplify-path,,Medium,"String, Stack, "
72,Edit Distance,Edit Distance,edit-distance,,Easy,"String, Dynamic Programming, "
73,Set Matrix Zeroes,Set Matrix Zeroes,set-matrix-zeroes,,Hard,"Array, "
74,Search a 2D Matrix,Search a 2D Matrix,search-a-2d-matrix,,Easy,"Array, Binary Search, "
75,Sort Colors,Sort Colors,sort-colors,,Easy,"Array, Two Pointers, Sort, "
76,Minimum Window Substring,Minimum Window Substring,minimum-window-substring,,Easy,"Hash Table, Two Pointers, String, Sliding Window, "
77,Combinations,Combinations,combinations,,Easy,"Backtracking, "
78,Subsets,Subsets,subsets,,Easy,"Array, Backtracking, Bit Manipulation, "
79,Word Search,Word Search,word-search,,Easy,"Array, Backtracking, "
80,Remove Duplicates from Sorted Array II,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,,Medium,"Array, Two Pointers, "
81,Search in Rotated Sorted Array II,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,,Medium,"Array, Binary Search, "
82,Remove Duplicates from Sorted List II,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,Check equality of curr->data == curr->next->data,Easy,"Linked List, "
83,Remove Duplicates from Sorted List,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,,Easy,"Linked List, "
84,Largest Rectangle in Histogram,Largest Rectangle in Histogram,largest-rectangle-in-histogram,,Easy,"Array, Stack, "
85,Maximal Rectangle,Maximal Rectangle,maximal-rectangle,,Easy,"Array, Hash Table, Dynamic Programming, Stack, "
86,Partition List,Partition List,partition-list,,Medium,"Linked List, Two Pointers, "
87,Scramble String,Scramble String,scramble-string,,Medium,"String, Dynamic Programming, "
88,Merge Sorted Array,Merge Sorted Array,merge-sorted-array,,Medium,"Array, Two Pointers, "
89,Gray Code,Gray Code,gray-code,,Medium,"Backtracking, "
90,Subsets II,Subsets II,subsets-ii,,Easy,"Array, Backtracking, "
91,Decode Ways,Decode Ways,decode-ways,,Medium,"String, Dynamic Programming, "
92,Reverse Linked List II,Reverse Linked List II,reverse-linked-list-ii,,Easy,"Linked List, "
93,Restore IP Addresses,Restore IP Addresses,restore-ip-addresses,,Medium,"String, Backtracking, "
94,Binary Tree Inorder Traversal,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,,Easy,"Hash Table, Stack, Tree, "
95,Unique Binary Search Trees II,Unique Binary Search Trees II,unique-binary-search-trees-ii,,Easy,"Dynamic Programming, Tree, "
96,Unique Binary Search Trees,Unique Binary Search Trees,unique-binary-search-trees,,Easy,"Dynamic Programming, Tree, "
97,Interleaving String,Interleaving String,interleaving-string,,Easy,"String, Dynamic Programming, "
98,Validate Binary Search Tree,Validate Binary Search Tree,validate-binary-search-tree,,Hard,"Tree, Depth-first Search, "
99,Recover Binary Search Tree,Recover Binary Search Tree,recover-binary-search-tree,,Easy,"Tree, Depth-first Search, "
100,Same Tree,Same Tree,same-tree,,Easy,"Tree, Depth-first Search, "
