ID,Title,Link,titleSlug,Approach,Difficulty,Topics
336,Palindrome Pairs,Palindrome Pairs,palindrome-pairs,,Hard,"Hash Table, String, Trie, "
346,Moving Average from Data Stream,Moving Average from Data Stream,moving-average-from-data-stream,,Hard,"Design, Queue, "
361,Bomb Enemy,Bomb Enemy,bomb-enemy,,Hard,"Dynamic Programming, "
362,Design Hit Counter,Design Hit Counter,design-hit-counter,,Hard,"Design, "
377,Combination Sum IV,Combination Sum IV,combination-sum-iv,,Hard,"Dynamic Programming, "
381,Insert Delete GetRandom O(1) - Duplicates allowed,Insert Delete GetRandom O(1) - Duplicates allowed,insert-delete-getrandom-o1-duplicates-allowed,,Hard,"Array, Hash Table, Design, "
386,Lexicographical Numbers,Lexicographical Numbers,lexicographical-numbers,,Hard,
392,Is Subsequence,Is Subsequence,is-subsequence,,Hard,"Binary Search, Dynamic Programming, Greedy, "
403,Frog Jump,Frog Jump,frog-jump,,Hard,"Dynamic Programming, "
404,Sum of Left Leaves,Sum of Left Leaves,sum-of-left-leaves,,Hard,"Tree, "
406,Queue Reconstruction by Height,Queue Reconstruction by Height,queue-reconstruction-by-height,,Hard,"Greedy, "
409,Longest Palindrome,Longest Palindrome,longest-palindrome,,Hard,"Hash Table, "
413,Arithmetic Slices,Arithmetic Slices,arithmetic-slices,,Hard,"Math, Dynamic Programming, "
421,Maximum XOR of Two Numbers in an Array,Maximum XOR of Two Numbers in an Array,maximum-xor-of-two-numbers-in-an-array,,Hard,"Bit Manipulation, Trie, "
426,Convert Binary Search Tree to Sorted Doubly Linked List,Convert Binary Search Tree to Sorted Doubly Linked List,convert-binary-search-tree-to-sorted-doubly-linked-list,,Hard,"Linked List, Divide and Conquer, Tree, "
429,N-ary Tree Level Order Traversal,N-ary Tree Level Order Traversal,n-ary-tree-level-order-traversal,,Hard,"Tree, Breadth-first Search, "
430,Flatten a Multilevel Doubly Linked List,Flatten a Multilevel Doubly Linked List,flatten-a-multilevel-doubly-linked-list,,Hard,"Linked List, Depth-first Search, "
431,Encode N-ary Tree to Binary Tree,Encode N-ary Tree to Binary Tree,encode-n-ary-tree-to-binary-tree,,Hard,"Tree, "
432,All O`one Data Structure,All O`one Data Structure,all-oone-data-structure,,Hard,"Design, "
433,Minimum Genetic Mutation,Minimum Genetic Mutation,minimum-genetic-mutation,,Hard,
439,Ternary Expression Parser,Ternary Expression Parser,ternary-expression-parser,,Hard,"Stack, Depth-first Search, "
445,Add Two Numbers II,Add Two Numbers II,add-two-numbers-ii,,Hard,"Linked List, "
446,Arithmetic Slices II - Subsequence,Arithmetic Slices II - Subsequence,arithmetic-slices-ii-subsequence,,Hard,"Dynamic Programming, "
455,Assign Cookies,Assign Cookies,assign-cookies,,Hard,"Greedy, "
